Timestamp,Age group , Which fast food chains do you visit most often?, Favorite cafe chain for coffee/tea?,How often do you eat at fast food chains/cafes?,Do you prefer online delivery or offline dining?,Preferred fast food delivery app?,Average order value range (Fast food chains / Cafes),Typical Time of ordering,"Thank you for participating in this survey!
Your valuable responses will help us understand food consumption behavior and emerging delivery trends as part of our academic research project.

We truly appreciate your time and support. 😊",Email Address
2/11/2026 16:07:53,,Burger King,Local cafes,Rarely,Mostly offline,Swiggy,"₹1,000-1,500",,,
3/25/2026 13:04:42,18-21,Dominos,Starbucks,3-5 times a week,Mostly online delivery,Zomato,"₹500-1,000",Lunch,,
3/25/2026 13:13:58,18-21,KFC,Cafe Coffee Day (CCD),Weekly,50-50 both,Zomato,"₹500-1,000",Night,👍,
3/25/2026 13:14:37,21-25,Dominos,Local cafes,Weekly,Mostly online delivery,Zomato,₹200-500,Night,,
3/25/2026 13:21:56,21-25,McDonalds,Starbucks,3-5 times a week,Mostly online delivery,Zepto Cafe,"₹500-1,000",Evening snacks,Yes,
3/25/2026 13:21:58,18-21,Burger King,Starbucks,2-3 times a month,Mostly online delivery,Swiggy,₹200-500,Night,,
3/25/2026 13:23:46,18-21,Dominos,Starbucks,2-3 times a month,Mostly online delivery,Magicpin,₹200-500,Night,Janvi is best,
3/25/2026 13:24:50,18-21,McDonalds,Starbucks,3-5 times a week,Mostly offline,Swiggy,₹200-500,Night,,
3/25/2026 13:25:47,18-21,McDonalds,Starbucks,3-5 times a week,50-50 both,Zomato,"₹500-1,000",Evening snacks,,
3/25/2026 13:28:16,18-21,McDonalds,Local cafes,Weekly,50-50 both,Zomato,₹200-500,Night,,
3/25/2026 13:30:34,18-21,Burger King,Costa Coffee,2-3 times a month,Mostly online delivery,Swiggy,₹200-500,Evening snacks,,
3/25/2026 14:18:23,18-21,Dominos,Barista,2-3 times a month,Mostly online delivery,Magicpin,₹200-500,Night,,
3/25/2026 16:36:43,Under 18,Local fast food joints,Local cafes,2-3 times a month,50-50 both,Swiggy,₹200-500,Evening snacks,,
3/25/2026 18:12:38,21-25,Burger King,Local cafes,Weekly,Mostly online delivery,Zomato,₹200-500,Lunch,.,
3/25/2026 18:26:00,18-21,McDonalds,Starbucks,Weekly,Mostly offline,Zomato,"₹500-1,000",Night,,
3/25/2026 19:29:05,18-21,Dominos,Local cafes,2-3 times a month,Mostly offline,Direct from restaurant app,₹200-500,Evening snacks,,
3/26/2026 1:28:52,18-21,Dominos,Starbucks,Weekly,Mostly online delivery,Zomato,₹200-500,Evening snacks,,
3/26/2026 17:24:21,18-21,McDonalds,Barista,Weekly,50-50 both,Zomato,₹200-500,Night,,
3/26/2026 17:52:55,21-25,Local fast food joints,Mcdonalds,3-5 times a week,50-50 both,Zomato,₹200-500,Evening snacks,,
3/26/2026 18:18:12,18-21,McDonalds,Local cafes,2-3 times a month,50-50 both,Zomato,₹200-500,Lunch,,
3/26/2026 18:23:44,18-21,Pizza Hut,Local cafes,2-3 times a month,50-50 both,Zomato,₹200-500,Evening snacks,,
3/26/2026 18:29:35,18-21,McDonalds,Chaayos,Weekly,50-50 both,Zomato,"₹500-1,000",Evening snacks,,
3/26/2026 18:31:30,18-21,McDonalds,Local cafes,3-5 times a week,Mostly offline,Zomato,₹200-500,Evening snacks,,
3/26/2026 18:32:12,18-21,Burger King,Local cafes,Daily,Mostly offline,Zomato,₹200-500,Lunch,,
3/26/2026 18:32:35,18-21,McDonalds,Costa Coffee,Weekly,50-50 both,Zomato,"₹500-1,000",Night,,
3/26/2026 18:37:12,18-21,McDonalds,Barista,Weekly,50-50 both,Zepto Cafe,"₹500-1,000",Night,,
3/26/2026 18:37:40,18-21,Subway,Barista,2-3 times a month,50-50 both,Swiggy,₹200-500,Evening snacks,N/A,
3/26/2026 18:40:38,18-21,Local fast food joints,Local cafes,Weekly,Mostly offline,Zomato,₹200-500,Evening snacks,,
3/26/2026 18:52:19,18-21,Dominos,Local cafes,2-3 times a month,Mostly offline,Zomato,"₹500-1,000",Night,,
3/26/2026 19:13:18,18-21,McDonalds,Local cafes,3-5 times a week,50-50 both,Zomato,₹200-500,Evening snacks,,
